TYPE,NAME,ADDRESS,COMM_CODE,longitude,latitude,location
Community Centre,Dover Community Centre,3033 30 AV SE,DOV,-113.989090154976,51.0267130050214,"(51.0267130050214, -113.989090154976)"
Hospital,Foothills Hospital,1403 - 29 ST NW,STA,-114.132176604307,51.0641829371032,"(51.0641829371032, -114.132176604307)"
Community Centre,Queensland / Diamond Cove Community Centre,649 Queensland DR SE,QLD,-114.021663092359,50.9396008059039,"(50.9396008059039, -114.021663092359)"
Community Centre,Glenbrook Community Centre,3524 45 ST SW,GBK,-114.152085653938,51.0229857234291,"(51.0229857234291, -114.152085653938)"
Social Dev Ctr,West Area,2539 33 AV SW,CFC,-114.123807148789,51.023239371973,"(51.023239371973, -114.123807148789)"
Community Centre,Ramsay Community Centre,1136 8 ST SE,RAM,-114.041142984293,51.0384257714874,"(51.0384257714874, -114.041142984293)"
Community Centre,Riverbend Community Centre,19 Rivervalley DR SE,RIV,-114.016385393219,50.9724535826797,"(50.9724535826797, -114.016385393219)"
Community Centre,Shawnessy Community Centre,224 Shawmeadows RD SW,SHN,-114.075157382964,50.9067090106086,"(50.9067090106086, -114.075157382964)"
Community Centre,Scenic Acres Community Centre,8825 Scurfield DR NW,SCE,-114.214764356103,51.1217081691822,"(51.1217081691822, -114.214764356103)"
Court,Alberta Provincial Court (Family),# 704-N 601 5 ST SW,DNC,-114.074123212687,51.0469256036599,"(51.0469256036599, -114.074123212687)"
Social Dev Ctr,South Area,502 HERITAGE DR SW,KIN,-114.074350860913,50.9831370507058,"(50.9831370507058, -114.074350860913)"
Court,Alberta Provincial Court (Criminal),# 402-S 601 5 ST SW,DNC,-114.074123212687,51.0469256036599,"(51.0469256036599, -114.074123212687)"
Community Centre,Glamorgan Community Centre,4207 41 AV SW,GLA,-114.145168985749,51.0173614721312,"(51.0173614721312, -114.145168985749)"
Community Centre,Cambrian Heights Community Centre,600 Northmount DR NW,CAM,-114.087381999418,51.0868287558476,"(51.0868287558476, -114.087381999418)"
Hospital,South Health Campus,4448 FRONT ST SE,SET,-113.951703811929,50.8821018511385,"(50.8821018511385, -113.951703811929)"
Community Centre,Crossroads Community Centre,1803 14 AV NE,MAL,-114.019130042951,51.0651630249336,"(51.0651630249336, -114.019130042951)"
Social Dev Ctr,North Area,905 30 AV NW,MOP,-114.079256532942,51.0798229863009,"(51.0798229863009, -114.079256532942)"
Court,Alberta Court of Queens Bench,# 604-N 601 5 ST SW,DNC,-114.074123212687,51.0469256036599,"(51.0469256036599, -114.074123212687)"
Community Centre,Lake Bonavista Community Centre,1401 Acadia DR SW,LKB,-114.049211839324,50.9369456047232,"(50.9369456047232, -114.049211839324)"
Community Centre,Arbour Lake Community Centre,12 Arbour Lake DR NW,ARB,-114.202577018573,51.1330936900986,"(51.1330936900986, -114.202577018573)"
Community Centre,Penbrooke Meadows Community Centre,6100 8 AV SE,PEN,-113.946329739266,51.0459088361041,"(51.0459088361041, -113.946329739266)"
Community Centre,West Hillhurst Community Centre,1940 6 AV NW,WHL,-114.104610045727,51.0581807834655,"(51.0581807834655, -114.104610045727)"
Community Centre,North Haven Community Centre,5003 North Haven DR NW,NHV,-114.086623189878,51.0990977260929,"(51.0990977260929, -114.086623189878)"
Community Centre,Acadia Community Centre,240 90 AV SE,ACA,-114.065142563977,50.9731704633922,"(50.9731704633922, -114.065142563977)"
Community Centre,Chaparral Residents Association,225 CHAPARRAL DR SE,CHA,-114.036419567155,50.8863625124006,"(50.8863625124006, -114.036419567155)"
Court,Alberta Provincial Court (Rural),# 401-S 601 5 ST SW,DNC,-114.074123212687,51.0469256036599,"(51.0469256036599, -114.074123212687)"
Community Centre,Strathcona/Christie Park Community Centre,277 Strathcona DR SW,STR,-114.179969429043,51.0472700802547,"(51.0472700802547, -114.179969429043)"
Community Centre,Edgemont Community Centre,33 Edgevalley CI NW,EDG,-114.14417148715,51.1284869299477,"(51.1284869299477, -114.14417148715)"
Community Centre,Mount Royal Community Centre,2317 10 ST SW,UMR,-114.086056778657,51.0317347745017,"(51.0317347745017, -114.086056778657)"
